			1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93
			XXX2-2014-0	XXX2-2014-T3XX	XXX2-2014-T4XX	XXX2-2014-T6XX	XXX2-2024-0	XXX2-2024-T3XX	XXX2-2024-T4XX	XXX2-2024-T6XX	XXX2-2024-T8XX	XXX2-6061-0	XXX2-6061-T4XX	XXX2-6061-T42	XXX2-6061-T6XX	XXX2-7050-T74XX	XXX2-7050-T76XX	XXX2-7055-T7751	XXX2-7055-T77511	XXX2-7075-0	XXX2-7075-T6XX	XXX2-7075-T73XX	XXX2-7075-T73511	XXX1-2014-0	XXX1-2014-T3XX	XXX1-2014-T4XX	XXX1-2014-T6XX	XXX1-2024-0	XXX1-2024-T3XX	XXX1-2024-T4XX	XXX1-2024-T6XX	XXX1-2024-T8XX	XXX1-6013-T4XX	XXX1-6013-T6XX	XXX1-6061-0	XXX1-6061-T4XX	XXX1-6061-T6XX	XXX1-7075-T6XX	XXX1-7075-T73	XXX1-7075-T76XX	XXX4-2014-T3XX	XXX4-2014-T4XX	XXX4-2014-T6XX	XXX4-2024-T3XX	XXX4-2024-T4XX	XXX4-2024-T6XX	XXX4-2024-T8XX	XXX4-2124-T3XX	XXX4-2124-T4XX	XXX4-2124-T6XX	XXX4-2124-T8XX	XXX4-6061-0	XXX4-6061-T4XX	XXX4-6061-T6XX	XXX4-7075-0	XXX4-7075-T6XX	XXX4-7075-T7XX	XXX3-2014-0	XXX3-2014-T3XX	XXX3-2014-T6XX	XXX3-2024-0	XXX3-2024-T3XX	XXX3-2024-T4XX	XXX3-2024-T6XX	XXX3-2024-T8XX	XXX3-5052-0	XXX3-6013-0	XXX3-6013-T4XX	XXX3-6013-T6XX	XXX3-6061-0	XXX3-6061-T4XX	XXX3-6061-T6XX	XXX3-6063-T6XX	XXX3-7049-0	XXX3-7049-T7XX	XXX3-7050-0	XXX3-7050-T73XX	XXX3-7050-T74XX	XXX3-7050-T76XX	XXX3-7075-0	XXX3-7075-T6XX	XXX3-7075-T73XX	XXX3-7075-T76XX	XXX3-7079-0	XXX3-7079-T6XX	BAPS168-013-2024-T3XX	BAPS168-013-2024-T4XX	BAPS168-013-2024-T6XX	BAPS168-013-6013-T4XX	BAPS168-013-6013-T6XX	BAPS168-013-6061-T4XX	BAPS168-013-6061-T6XX	BAPS168-013-7050-T73XX	BAPS168-013-7050-T74XX	BAPS168-013-7075-T6XX
Thickness																																																																																															
1	0.016	2	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	82.5 HR15Tw	82.5 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	79.5 HR15Tw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
2	0.017	3	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	82.5 HR15Tw	82.5 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	79.5 HR15Tw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
3	0.018	4	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	82.5 HR15Tw	82.5 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	79.5 HR15Tw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
4	0.019	5	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	82.5 HR15Tw	82.5 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	79.5 HR15Tw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
5	0.020	6	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	82.5 HR15Tw	82.5 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	79.5 HR15Tw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
6	0.021	7	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	84 HR15Tw	84 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	65 HRBw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
7	0.022	8	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	84 HR15Tw	84 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	65 HRBw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
8	0.023	9	No reqm't	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	Tensile	No reqm't	Tensile	Tensile	Tensile	No reqm't	82 HR15Tw	82 HR15Tw	82 HR15Tw	No reqm't	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	40 HRBw / 81 HREw	61 HRBw / 96 HREw	No reqm't	64 HR15Tw	78 HR15Tw	87 HR15Tw	85 HR15Tw	86 HR15Tw	79 HR15Tw	79 HR15Tw	86 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	82 HR15Tw	82 HR15Tw	84 HR15Tw	85 HR15Tw	No reqm't	65 HR15Tw	78 HR15Tw	No reqm't	87 HR15Tw	85 HR15Tw	No reqm't	No reqm't	86 HR15Tw	No reqm't	84 HR15Tw	84 HR15Tw	86 HR15Tw	86 HR15Tw	No reqm't	No reqm't	78 HR15Tw	65 HRBw	No reqm't	67 HR15Tw	79.5 HR15Tw	70 HR15Tw	No reqm't	82 HRBw	No reqm't	82 HRBw / Tensile	82 HRBw / Tensile	84 HRBw / Tensile	No reqm't	87.5 HR15Tw	78 HRBw / Tensile	82 HRBw / Tensile	No reqm't	87.5 HR15Tw	63 HRBw	63 HRBw	72 HRBw 	80 HREw	65 HRBw	60 HREw	85 HREw	88 HRBw	83 HRBw	84 HRBw
