Spec	Material	Temper	Concat	Min	Max
XXX2	2014	0	XXX2-2014-0	48.5	51.0
XXX2	2014	T3XX	XXX2-2014-T3XX	31.5	35.0
XXX2	2014	T4XX	XXX2-2014-T4XX	31.5	35.0
XXX2	2014	T6XX	XXX2-2014-T6XX	35.0	40.0
XXX2	2024	0	XXX2-2024-0	45.5	49.0
XXX2	2024	T3XX	XXX2-2024-T3XX	28.5	32.0
XXX2	2024	T4XX	XXX2-2024-T4XX	28.5	32.0
XXX2	2024	T6XX	XXX2-2024-T6XX	36.0	40.0
XXX2	2024	T8XX	XXX2-2024-T8XX	38.0	42.0
XXX2	6061	0	XXX2-6061-0	47.0	56.0
XXX2	6061	T4XX	XXX2-6061-T4XX	36.0	45.5
XXX2	6061	T42	XXX2-6061-T42	36.0	45.5
XXX2	6061	T6XX	XXX2-6061-T6XX	40.0	51.0
XXX2	7050	T74XX	XXX2-7050-T74XX	40.0	44.0
XXX2	7050	T76XX	XXX2-7050-T76XX	39.0	44.0
XXX2	7055	T7751	XXX2-7055-T7751	35.5	38.0
XXX2	7055	T77511	XXX2-7055-T77511	35.5	38.0
XXX2	7075	0	XXX2-7075-0	44.0	47.5
XXX2	7075	T6XX	XXX2-7075-T6XX	30.0	35.0
XXX2	7075	T73XX	XXX2-7075-T73XX	38.0	42.5
XXX2	7075	T73511	XXX2-7075-T73511	38.0	42.5
XXX1	2014	0	XXX1-2014-0	43.5	51.5
XXX1	2014	T3XX	XXX1-2014-T3XX	31.5	35.0
XXX1	2014	T4XX	XXX1-2014-T4XX	31.5	35.0
XXX1	2014	T6XX	XXX1-2014-T6XX	35.0	41.5
XXX1	2024	0	XXX1-2024-0	46.0	51.0
XXX1	2024	T3XX	XXX1-2024-T3XX	27.5	32.5
XXX1	2024	T4XX	XXX1-2024-T4XX	27.5	34.0
XXX1	2024	T6XX	XXX1-2024-T6XX	34.0	44.0
XXX1	2024	T8XX	XXX1-2024-T8XX	35.0	42.5
XXX1	6013	T4XX	XXX1-6013-T4XX	37.0	39.0
XXX1	6013	T6XX	XXX1-6013-T6XX	40.0	43.0
XXX1	6061	0	XXX1-6061-0	42.0	50.0
XXX1	6061	T4XX	XXX1-6061-T4XX	35.5	43.0
XXX1	6061	T6XX	XXX1-6061-T6XX	40.0	50.0
XXX1	7075	T6XX	XXX1-7075-T6XX	30.5	36.0
XXX1	7075	T73	XXX1-7075-T73	38.0	43.0
XXX1	7075	T76XX	XXX1-7075-T76XX	38.0	42.0
XXX4	2014	T3XX	XXX4-2014-T3XX	31.5	34.5
XXX4	2014	T4XX	XXX4-2014-T4XX	31.5	34.5
XXX4	2014	T6XX	XXX4-2014-T6XX	35.0	40.0
XXX4	2024	T3XX	XXX4-2024-T3XX	28.5	33.0
XXX4	2024	T4XX	XXX4-2024-T4XX	28.0	32.0
XXX4	2024	T6XX	XXX4-2024-T6XX	35.0	39.0
XXX4	2024	T8XX	XXX4-2024-T8XX	35.0	42.0
XXX4	2124	T3XX	XXX4-2124-T3XX	28.5	33.0
XXX4	2124	T4XX	XXX4-2124-T4XX	28.0	32.0
XXX4	2124	T6XX	XXX4-2124-T6XX	35.0	39.0
XXX4	2124	T8XX	XXX4-2124-T8XX	35.0	42.0
XXX4	6061	0	XXX4-6061-0	47.0	51.0
XXX4	6061	T4XX	XXX4-6061-T4XX	38.0	44.0
XXX4	6061	T6XX	XXX4-6061-T6XX	42.0	51.0
XXX4	7075	0	XXX4-7075-0	44.5	47.8
XXX4	7075	T6XX	XXX4-7075-T6XX	29.5	34.5
XXX4	7075	T7XX	XXX4-7075-T7XX	38.0	42.0
XXX3	2014	0	XXX3-2014-0	48.5	51.0
XXX3	2014	T3XX	XXX3-2014-T3XX	31.5	35.0
XXX3	2014	T6XX	XXX3-2014-T6XX	36.0	39.5
XXX3	2024	0	XXX3-2024-0	46.0	49.0
XXX3	2024	T3XX	XXX3-2024-T3XX		31.0
XXX3	2024	T4XX	XXX3-2024-T4XX		29.6
XXX3	2024	T4XX	XXX3-2024-T4XX-C		30.5
XXX3	2024	T6XX	XXX3-2024-T6XX	36.0	40.0
XXX3	2024	T6XX	XXX3-2024-T6XX-C	36.0	41.0
XXX3	2024	T8XX	XXX3-2024-T8XX	38.0	41.0
XXX3	5052	0	XXX3-5052-0	34.0	37.0
XXX3	6013	0	XXX3-6013-0	47.0	
XXX3	6013	T4XX	XXX3-6013-T4XX	37.0	39.0
XXX3	6013	T6XX	XXX3-6013-T6XX	40.0	44.0
XXX3	6061	0	XXX3-6061-0	44.0	51.0
