CONCAT	Bare	Clad
XXX2-2014-0	5.0	7.0
XXX2-2014-T3XX	5.0	7.0
XXX2-2014-T4XX	5.0	7.0
XXX2-2014-T6XX	5.0	7.0
XXX2-2024-0	5.0	6.0
XXX2-2024-T3XX	5.0	6.0
XXX2-2024-T4XX	5.0	6.0
XXX2-2024-T6XX	5.0	6.0
XXX2-2024-T8XX	5.0	6.0
XXX2-6061-0	5.0	8.0
XXX2-6061-T4XX	5.0	8.0
XXX2-6061-T42	5.0	8.0
XXX2-6061-T6XX	5.0	8.0
XXX2-7050-T74XX	5.0	Not Applicable
XXX2-7050-T76XX	5.0	Not Applicable
XXX2-7055-T7751	5.0	Not Applicable
XXX2-7055-T77511	5.0	Not Applicable
XXX2-7075-0	5.0	6.0
XXX2-7075-T6XX	5.0	6.0
XXX2-7075-T73XX	5.0	6.0
XXX2-7075-T73511	5.0	6.0
XXX1-2014-0	5.0	7.0
XXX1-2014-T3XX	5.0	7.0
XXX1-2014-T4XX	5.0	7.0
XXX1-2014-T6XX	5.0	7.0
XXX1-2024-0	5.0	6.0
XXX1-2024-T3XX	5.0	6.0
XXX1-2024-T4XX	5.0	6.0
XXX1-2024-T6XX	5.0	6.0
XXX1-2024-T8XX	5.0	6.0
XXX1-6013-T4XX	5.0	Not Applicable
XXX1-6013-T6XX	5.0	Not Applicable
XXX1-6061-0	5.0	8.0
XXX1-6061-T4XX	5.0	8.0
XXX1-6061-T6XX	5.0	8.0
XXX1-7075-T6XX	5.0	6.0
XXX1-7075-T73	5.0	6.0
XXX1-7075-T76XX	5.0	6.0
XXX4-2014-T3XX	1.0	3.0
XXX4-2014-T4XX	1.0	3.0
XXX4-2014-T6XX	1.0	3.0
XXX4-2024-T3XX	1.0	2.0
XXX4-2024-T4XX	1.0	2.0
XXX4-2024-T6XX	1.0	2.0
XXX4-2024-T8XX	1.0	2.0
XXX4-2124-T3XX	1.0	Not Applicable
XXX4-2124-T4XX	1.0	Not Applicable
XXX4-2124-T6XX	1.0	Not Applicable
XXX4-2124-T8XX	1.0	Not Applicable
XXX4-6061-0	1.0	Not Applicable
XXX4-6061-T4XX	1.0	Not Applicable
XXX4-6061-T6XX	1.0	Not Applicable
XXX4-7075-0	1.0	2.0
XXX4-7075-T6XX	1.0	2.0
XXX4-7075-T7XX	1.0	2.0
